Estación SIMAJ,Fecha,Hora,O3,NO,NO2,NOX,SO2,CO,PM10,PM2.5,TMPI,TMP,RH,WS,WD,PP,RS,PBA,UV,UVI
Aguilas,01/01/21,0,0.004, , , ,0.0016,1.528, , ,23,12.2,62.8,1.12,168.51,0,,,,
Aguilas,01/01/21,1,0.003, , , ,0,0, , ,23,12.4,61.3,2.62,65.69,0,,,,
Aguilas,01/01/21,2,0, , , ,0.0029,1.683, , ,23,11.9,63.3,1.02,174.88,0,,,,
Aguilas,01/01/21,3,0, , , ,0.0021,1.387, , ,23,11.4,66.2,1.05,314.18,0,,,,
Aguilas,01/01/21,4,0.002, , , ,0.0025,1.207, , ,23,10.9,68.2,1.46,274.03,0,,,,
Aguilas,01/01/21,5,0.003, , , ,0.0019,1.305, , ,23,10.1,72.2,1.13,276.64,0,,,,
Aguilas,01/01/21,6,0.005, , , ,0.0017,1.029, , ,23,9.6,74,1.37,297.26,0,,,,
Aguilas,01/01/21,7,0.004, , , ,0.0014,1.148, , ,22.9,9.2,76.9,1.04,305.52,0,,,,
Aguilas,01/01/21,8,0.012, , , ,0.0017,0.834, , ,22.9,11.6,70.1,1.81,195.57,0,,,,
Aguilas,01/01/21,9,0.025, , , ,0.0015,0.423, , ,22.7,15,58.2,2.97,64.95,0,,,,
Aguilas,01/01/21,10,0.033, , , ,0.0028,0.544, , ,22.7,17.1,48.8,3.09,87.91,0,,,,
Aguilas,01/01/21,11,0.045, , , ,0.0025,0.59, , ,22.5,19.9,35.1,3.17,73.98,0,,,,
Aguilas,01/01/21,12,0.056, , , ,0.0017,0.529, , ,22.3,22.8,26,2.71,149.37,0,,,,
Aguilas,01/01/21,13,0.043, , , ,0.001,0.315, , ,22.4,25.3,16.9,6.37,201.49,0,,,,
Aguilas,01/01/21,14,0.042, , , ,0.0005,0.235, , ,22.4,25.9,11.5,11.1,215.45,0,,,,
Aguilas,01/01/21,15,0.043, , , ,0.0005,0.236, , ,22.4,26,10.7,12.29,209.51,0,,,,
Aguilas,01/01/21,16,0.042, , , ,0.0008,0.23, , ,22.5,25.8,11.2,10.68,233.05,0,,,,
Aguilas,01/01/21,17,0.041, , , ,0.0006,0.212, , ,22.5,23.9,14.3,8.54,253.07,0,,,,
